용어,설명
빈집,"사람이 살지 않는 주택을 말하며 신축되어 아직 입주하지 않은 주택도 포함한다. 과거에 살다가 비워 놓은 집인 경우, 대폭적 수리를 하지 않더라도 언제든지 다시 살 수 있는 집만 포함되므로 오랫동안 방치된 폐가는 제외된다"
사교육비,"사교육비는 공공회계를 거치지 않고 학부모나 학생이 교육을 위하여 직접 지출하는 경비이다. 사교육비의 주요항목에는 교재구입비, 부교재구입비, 학용품비, 수업준비물비, 학교지정 의류비, 과외비, 학원비, 단체활동비, 교통비, 급식비, 하숙비, 잡비 등이 포함되어 있다."
사내유보율,기업의 미처분이익잉여금중 사내유보분의 비중을 표시하는 비율로 당기에 이룩한 경영성과중에서 사내유보된 비율을 나타내는 「플로우(flow)」 개념이다.
사망원인,"사망을 유발했거나 사망에 영향을 미친 모든 질병, 병태 및 손상과 이러한 손상을 일으킨 모든 사고나 폭력의 상황을 말한다"
사망원인별 구성비,"한 국가의 건강상태가 증진됨에 따라 총 사망자가 상대적 크기 변화와 아울러 사망원인의 구성에 변화가 온다는 사실에 기초를 둔 지표로 전체 사망자수에 대한 사인별 사망자수를 백분비로 나타낸 것이다. 즉, 건강상태가 저조한 국가에서는 사망률이 높고 전염병 및 기생충 질환이 높으며 일반적으로 선진국의 경우는 사망률이 낮고 만성병 및 사고(특히 교통사고) 등이 많은 부분을 차지하는 경향이 있다"
"사모발행 (私募發行, private placement)","증권거래소에 상장하여 발행하는 방법은 공모발행(public offering)이라 하고, 사모발행은 채권을 증권거래소에 상장하지 않고 특정한 소수인에게 발행하는 것을 말한다. 절차 및 시간과 비용을 절약할 수 있는 장점이 있으나, 고객과 직접 교섭하므로 발행수익률이 높아지는 단점이 있다. "
사모방식(私募方式) 신디케이트 구조,1974~75년에 많이 사용되었던 신디케이트 구성방식으로 호주가 많이 사용했던 관계로 Kangaroo Syndicate라고도 한다. 그 구조는 다음 그림과 같다. 
"사모사채 (私募社債, private placement corporate bonds)","기업이 채권의 발행자(기업)이 공개모집의 형식을 취하지 않고, 은행,보험회사, 특정개인 등 기관투자가들과 개별적 접촉을 통해 발행증권을 매각하는 형태를 취하는 사채를 말한다. 발행자가 일반투자자들에게 발행조건 및 발행시기를 알린 후 공개적으로 발행하여 모집절차를 밟는 공모사채와 대비되는 개념으로 비공모발행사채, 연고발행사채, 직접모집발행사채라고도 한다. 불특정다수인을 대상으로 발행하는 공모사채에 비해 발행시간과 비용이 절약되고 기업내용 공개를 회피할 수 있다는 점에서 기업들이 선호하고 있다. 매입자 입장에서도 유리한 조건으로 대량의 채권을 확보할 수 있다는 이점이 있다. 사모사채를 발행할 때에는 공모사채를 발행할 때와는 달리 증권관리위원회에 유가증권신고서를 제출하지 않아도 되고, 인수주선기관을 선정할 필요도 없으며, 통일된 규격의 유가증권으로 사채권을 발행하지 않아도 된다. 이런 점에서 사모사채는 증권시장에서 유통되는 채권으로서의 기능보다는 대출의 성격이 짙다고 볼 수 있다. 그러나 사모사채를 발행할 때 담보에 대해 엄격한 조건이 부과되고, 발행량이 한정되며 발행자가 유통시장에서 사후관리를 할 수 없다는 단점이 있다. 또한 공모사채는 기업의 형편에 따라 다양한 만기를 정하고 있는 반면, 사모사채는 대부분 만기가 1년 미만이다. "
사모펀드,"소수의 투자자로부터 자금을 모아 주식, 채권 등에 운용하는 펀드이다. 이 펀드는 공모펀드와는 달리 운용대상에 제한이 없는 만큼 자유로운 운용이 가능하다. 공모펀드는 펀드규모의 10% 이상을 한 주식에 투자할 수 없고 주식이 채권 등 유가증권에도 한 종목에 10% 이상 투자할 수 없다. 그러나 사모펀드는 이러한 제한이 없어 이익이 발생할 만한 어떠한 투자 대상에도 투자할 수 있다. 예를 들어 주식형 사모펀드는 투신사에 돈을 맡겨 특정기업의 주식을 집중적으로 사 들일 수 있는 상품이다. 이 펀드를 통해 원하는 기업의 경영권도 장악할 수 있다는 점이 특징으로 사실상 M&A펀드인 셈이다. "
사무종사자,"관리자 및 전문가를 보조하여 사업계획에 따라 업무를 추진하며, 당해 작업에 관련된 정보기록, 보관, 계산 및 검색업무를 수행하는 자와, 또한 금전취급 활동, 여행알선, 정보요청 및 예약업무에 관련하여 많은 고객을 대상으로 하는 사무적인 업무를 수행하는 자를 말한다."
사분위수,변량 X의 n개의 관측값을 작은 쪽으로부터 크기 순으로 배열했을 때 전체 관측값을 4등분하는 위치에 오는 값을 말한다. 제2 사분위수는 중앙값과 같다
사상,"표본공간의 부분집합을 사상이라 부른다. 엄밀하게 말하면 확률공간[Ω(어떤 집합), F(Ω의 부분집합들로 이루어지는 어떤 시그마 집합족), P(F에서 정의된 확률함수)]에서 F의 원소를 사상이라 부른다."
사실상의 합병,"우리나라의 경우에는 상법규정에 의한 흡수합병 또는 신설합병은 아니지만 사실상 합병과 동일한 경제적 목적을 달성할 수 있는 절차와 방법을 사실상의 합병이라 한다. 합병이라기 보다는 매수라는 명칭이 보다 적합하다고 할 수 있으며, 사실상의 합병은 해산, 청산, 현물출자, 영업양도, 주식취득 등의 여러 가지 방법으로 이루어질 수 있으며 합병과 동일한(또는 유사한) 경제적효과를 달성할 수 있다. 사실상의 합병의 방법으로는 첫째, 하나의 회사가 해산하고 동시에 다른 회사(즉 매수회사)가 신주를 발행하여 해산회사의 주주에게 교부하고 해산회사의 영업을 양수하는 방법과, 둘째, 하나의 회사가 해산하여 그 영업을 다른 회사(즉 매수회사)에게 양도하고 그 대가로서 금전을 받아 청산하는 방법, 셋째, 회사가 다른 회사의 주식을 전부 양수하거나 또는 기업지배에 필요한 주식을 확보하는 등의 방법이 있다. "
"사업성검토 (事業性檢討, feasibility study)","계획된 프로젝트가 기술적 및 경제적으로 시행이 가능한가를 조사, 검토하는 일련의 과정을 가리키며, 타당성 검토라고도 한다. 사업성검토는 프로젝트발주자가 하기도 하지만 프로젝트금융을 제공하는 금융기관도 별도로 하게 되며 조사 및 검토항목은 시장성검토, 기술검토, 경제성검토가 있다. 시장성검토는 계획하고 있는 프로젝트가 완성되어 생산될 제품이 국내외에서 어느 정도의 수요가 있는가를 조사하는 것이다. 조사항목으로는 수요실태, 잠재수요, 경쟁상황, 유통경로, 가격, 원료공급 등이다. 시장성검토가 끝나면 기술검토를 하게 되는데, 프로젝트의 건설장소와 규모, 제조과정의 우열비교, 건설비, 경영과 관리기술자의 교육의 난이도와 안전공해대책이 조사, 검토된다. 위 조사가 끝나면 경제성검토를 하게 되며, 경제성검토 방법으로는 국제개발부흥은행, 국제개발처, 일본의 수출입은행 등이 채용하고 있는 DCF(Discounted cash flow)법이 많이 사용된다. 일반적으로 경제성검토는 다음 순서로 이루어 진다. 첫째, 프로젝트의 선정, 둘째, 투자액의 추정, 셋째, 자금조달원천의 결정, 넷째, 수익계산, 다섯째, DCF계산, 여섯째, 경제성평가지표, 일곱째, 감응도분석, 여덟째, 의사결정이다. "
사업이외의 소득,"농가가 사업이외의 활동을 통하여 얻는 성과로서 농가 가구원이 노동력을 제공하고 얻은 노임, 급료 등의 소득과 그 외 임대료, 배당이자, 폐품판매수입 등을 모두 합산한 금액을 말한다.(농가경제조사)"
사업체,"개개의 공장, 작업장, 광산, 사업소 등과 같이 일정한 물리적 장소에서 단일 소유권 또는 단일 통제하에 경제활동을 하는 경제단위 를 말한다. 참고로 기업단위란 재화 및 서비스를 생산하는 법적 또는 제도적 단위의 최소결합체로서 자원배분에 관한 의사결정에서 자율성을 갖고 있으며, 하나이상의 사업체로 구성될 수 있다는 점에서 사업체와 구분된다. 따라서 1개의 기업체가 여러 개의 장소에서 경제활동을 할 경우 각 장소별로 사업체를 파악한다."
사외이사제도 (社外理事制度),"사외이사제도는 대학교수,변호사 등 일정자격 요건을 갖추고 대주주의 영향력을 받지 않은 전문가들을 이사회에 참여시켜 기업권력의 집중과 남용을 방지하고 기업의 사회적 책임을 성실히 수행한다는 측면에서 도입되었다. 사외이사제도의 도입은 주식회사 3대기관인 주주총회/감사/이사회 중 2개 기관에 대한 임원선임과 기능을 크게 바꾸는 결과를 낳게 된다. 특히, 이제까지 기업의 주요 사항에 대한 내부의사를 결정하는 기관이었던 이사회가 새로운 형태의 외부감시기구로 완전히 독립/설치하는 결과를 가져오게 되는 제도이다. 이 제도는 미국과 영국에서 채택하고 있으며 일본도 외부감시제를 도입했다. 미국의 경우 상장기업 이사 수의 45%가 그 기업과 관련이 없는 외부이사로 구성되어 사외이사제가 활성화되어 있는 편이다. 우리나라에서는 [증권거래법]이 개정되면서 상장회사들은 사외이사 도입이 의무화되었다. "
사용표,"공급된 상품이 어떻게 사용되었는지를 나타내는 표. 사용표의 세로는 각 산업의 생산활동에 중간재와 부가가치가 투입된 내역을, 가로는 공급된 상품이 중간수요 또는 최종수요로 사용된 내역을 나타냄"
사인분류,"세계보건기구에서 권고한 국제질병·사인분류체계(International Classification of Disease and Cause of Death)에 따라 분류한다. 분류체계는 질병 및 손상을 어느 정도 자세하게 분류하느냐에 따라 21개장, 261개 항목군, 2,036개의 3단위 분류 및 12,121개의 4단위 분류로 구분하며, 사망원인은 4단위로 분류한다. 우리 나라의 통계제표는 일반사망요약분류표 103항목과, 사인순위 선정을 위한 일반사망 선택분류표 73항목, 우리 나라 실정에 맞게 보완한 한국사인요약분류표(236항목) 등이 있다."
사적화의 (私的和議),"사적화의는 채권자와 채무자가 채권과 채무이행에 관한 사적계약을 체결하는 것을 전제로 오너의 경영권을 보장해 주는 기업갱신의 한 방안이다. 법정관리 신청 시 발생할 수 있는 오너의 경영권 박탈을 막기 위한 채무자측의 대응 조치인데 채권단의 75% 이상만 동의하면 가능한 법적화의와는 달리, 사적화의는 채권단의 100% 동의가 필요하다. "
사전제출제도 (pre-packaged bankruptcy),"법정관리 절차 진행시 회사정리계획안 제출은 종전에는 1차관계인 집회기일 이후 법원의 제출명령이 있는 때로부터 제출하도록 되어 있으나, 회사정리법 개정을 통해 부채의 1/2 이상 보유 채권자는 법정관리 개시 신청일로부터 1차관계인 집회기일 전까지 제출이 가능하도록 개정되었다. 이를 사전제출제도라 하며, 회사정리계획안에 사전제출제도를 도입함으로써 절차지연에 따르는 경제불안정 요인을 제거하고, 워크아웃에 실패한 기업 등 부실기업의 구조조정을 촉진함과 아울러 기업의 갱생을 도모하려는 것이다. "
사채시장 (私債市場),"사채시장은 공식 금융기관의 융자가 아닌 개인융자가 유통되는 시장을 말한다. 자금의 수요와 공급의 원리에 따라, 금융기관의 자금공급량이 자금의 수요를 충족시키지 못하는 데서 나타난 자금의 유통시장이다. 따라서 사채의 이자는 고리(高利)이다. "
사채원부(社債原簿),사채와 사채권자에 관한 사항을 기재한 회사의 장부로 법정 사항을 기재하여 본점에 비치하고 주주와 채권자에게 공시(公示)함
사회보장기금,사회보장기금은 정부단위의 다른 활동과는 독립적으로 조직되고 별도의 자산 및 부채를 보유하고 있음. 사회보장기금은 자체 자산 및 부채를 보유하며 자가계정에 의해 금융거래에 종사하는 자율적 기금이므로 독립된 제도단위가 됨
사회보험수혜금,사회보험수혜금은 일반적인 사회보장기구나 민간기금형 사회보험기구 또는 고용주가 제공하는 비기금형 사회보험기구와 같이 조직화된 사회보험기구에 의해 지급되는 수혜금을 말함
사회부담금,사회부담금은 사회수혜금의 지급에 충당하기 위해 부과되는 실제 및 귀속 부담금으로 고용주가 피고용자를 위해 지불하거나 피고용자 또는 자영업자나 비취업자 등이 자신을 위해 지불함
사회부조 수혜금,사회부조 수혜금은 정부나 가계에 봉사하는 비영리단체가 가계에 지급하는 사회수혜금으로 지급대상은 사회보험수혜금과 동일하나 사회부담금으로 사회보험수혜금을 지급하는 사회보험기구하에 이루어지지 않는다는 점에 차이가 있음
사회부조 현물수혜,사회부조 현물수혜란 정부 또는 가계에 봉사하는 비영리단체가 가계에 제공하는 현물이전으로서 사회보장 현물수혜와 유사하나 사회보장기구에 의해 제공되지 않는 것임
사회수혜금,"사회수혜금이란 가계가 특정한 사건이나 환경에 처할 경우(예 : 질병, 실직, 정년, 주거 및 교육상황 등) 수취하게 되는 경상이전으로 이는 다시 사회보험수혜금과 사회부조수혜금으로 나누어 짐"
사회안전망 (social safety net),"개별 근로자나 그들의 가구가 소득 감소나 일자리 상실로부터 고통받는 것을 막아주는 정부 주도의 제반 프로그램을 말한다. 노령,질병,실업,빈곤,재해 등 사회적 위험으로부터 국민을 보호하여 안정된 생활을 보장하기 위한 제도적 장치이기도 하다. 우리나라의 사회안전망은 크게 1,2,3차 안전망으로 구성되어 있다. 1차로 4대 사회보험은 일반국민을 대상으로 노령,질병,산재,실업 등의 사회적 위험을 보험을 통해 위험을 분산하고 있으며, 2차로 공공부조를 통해 1차 안전망에 의해 보호받지 못하는 저소득 빈곤계층의 기초생활을 보장하며, 3차로 긴급구호가 필요한 자에게 최소한의 생계 및 건강유지를 지원하고 있다. "
사회적 현물이전,사회적 현물이전은 정부(사회보장기금 포함) 및 가계에 봉사하는 비영리단체가 개별 가계에 현물이전의 형태로 제공하는 재화 및 서비스를 말함. 동 재화 및 서비스는 정부 또는 가계에 봉사하는 비영리단체가 시장에서 구입하거나 직접 생산하여 가계에 제공함
사회조사,"넓은 의미에서의 사회조사는 모든 사회환경을 조사의 대상으로 한다. 그러나 표본조사를 전제로 하는 경우에는 사회를 구성하고 있는 사람들의 다양한 사회행동의 실태를 조사하는 것이다. 따라서 사회조사에서 중요한 것은, 1.조사대상의 범위와 특성, 2. 주제를 명확히 하는 것이다."
사회조사분석사,"지식기반 확충과 서비스분야의 고용확대 등 산업환경변화에 대응하기 위하여 99년에 신설된 「사회조사분석사」 국가기술자격을 취득한 자를 말한다. 자격의 종류는 검정기준의 난이도에 따라 1급과 2급으로 구분되며, 검정주관기관은 통계청이다.
1급의 검정기준은 「1.종합적인 조사계획을 수립할 수 있는 능력의 유무, 2.표본을 추출하는 방식을 결정할 수 있는 능력의 유무, 3.조사목적에 적합한 조사방법을 선택·결정할 수 있는 능력의 유무, 4.새로운 조사방법·표본추출법·통계기법 등을 활용할 수 있는 능력의 유무, 5.조사보고서 작성 업무를 총괄적으로 기획하고 관리할 수 있는 능력의 유무」 등이며,
2급은 「1.질문지(조사표)를 체계적으로 작성할 수 있는 능력의 유무, 2.조사방법에 관한 기본지식을 갖추고 있는 능력의 유무, 3.회수된 조사표를 검토하고 분석을 위한 자료 준비(편집, 부호화, 자료선정 등)를 수행할 수 있는 능력의 유무, 4.통계프로그램을 활용하여 조사결과를 분석할 수 있는 능력의 유무, 5.분석결과를 토대로 조사보고서를 작성할 수 있는 능력의 유무 」등이다."
산술평균,"대표값이란 어떤 통계자료의 전체적인 특성을 한마디로 표시해주는 지표라고 할 수 있는데 대표값으로는 평균,중앙값 및 최빈수 등이 있다. 이중에서 가장 널리 이용되는 대표값은 평균이며, 산출방식에 따라 산술평균,기하평균,조화평균으로 구분된다. 산술평균에는 단순산술평균과 가중산술평균이 있는데 단순산술평균은 가장 일반적으로 사용되는 평균으로서 모든 자료의 합을 자료의 총수로 나눈 것을 말한다. "
산업분류,"생산주체들이 수행하는 각종 상품과 서비스의 생산활동을 일정한 분류기준과 원칙을 적용하여 체계적으로 분류한 것이다. 통계청에서는 유엔의 국제표준산업분류에 기초하여 국내의 산업구조 및 기술변화를 반영한 한국표준산업분류를 제정·고시하고 있으며, 최근 고시된 제 8차 개정분 한국표준산업분류는 제 3차 개정분 국제표준산업분류에 기초하여 작성되었다."
산업생산지수,"국내 생산활동의 단기 추이를 파악하기 위하여 광업, 제조업, 전기 및 가스업을 대상으로 매월 생산을 조사(통계청의 광공업동태조사)하여 작성하는 통계이다. 우리 나라의 산업생산지수는 기준시 고정산술평균(Laspeyres) 산식을 이용하여 작성되며, 지수작성에 적용되는 기준물량 및 가중치는 5년마다 개편된다. 현재는 2000년 기준 광업·제조업통계조사 결과를 모집단으로 한 2000년 기준 지수를 작성하고 있으며, 실물경제동향분석, 국민총생산추계, 노동생산성측정 등에 이용된다"
산업연관표,국민소득계정이 재화와 서비스의 생산으로부터 발생한 소득(부가가치)과 최종수요를 파악하려는 것임에 비해 산업연관표는 생산과정에서 원재료 등으로 중간소비된 것까지도 포함된 모든 재화와 서비스의 생산과 그 처분을 경제활동별로 파악할 수 있도록 작성된 행렬형태의 표
산업재해,"산업안전보건법 제2조 1항에서 정의한 산업재해란 근로자가 업무에 관계되는 건설물, 설비, 원재료, 가스, 증기, 분진 등에 의하거나, 작업에 관련된 기타 업무에 기인하여 사망 또는 부상당하거나 질병에 이환되는 것을 말한다. 여기서의 산업재해는 업무에 관계되는 일로 사망자가 발생한 경우나 4일 이상의 요양을 요하는 부상을 입은 자가 발생한 경우와 업무와 관계되는 일로 질병이 발생한 경우를 말한다"
산출물,"한 산업 부문에서 원자재, 노동력 따위의 생산 요소를 투입하여 만들어 낸 재화나 서비스, 또는 그런 총량"
산출물분류,"경제활동 과정에서 생산될 수 있는 모든 산출물(이동재, 비이동재 및 서비스)을 분류한 것인데, 여기에는 토지 등과 같은 비생산 자산과 특허, 허가, 상표 및 복제권 등 무형자산도 포함되어 있다. 적용된 분류기준으로는 산출물의 성질과 산업원천(경제활동)이라는 두 가지 측면이 고려되었으며, 산출물의 성질로는 재화의 원재료, 생산(조립)단계, 재화의 생산방법 또는 투여된 서비스, 산출물의 생산목적, 용도, 기능 및 판매대상(수요자) 등이 고려되었다"
산포,"관측값의 퍼짐을 뜻한다. 관측값들이 평균을 중심으로 얼마나 집중되어 있는가 또는 얼마나 퍼져있는가를 알고자 하는 경우가 있다. 이러한 목적을 위한 산포의 측도는 여러 가지가 있는데, 예를 들면 범위(Range), 4분위편차(Quartile de viation), 평균편차, 표준편차, 지니평균차(Gini s mean difference)등이 있다."
상(제)품회전율,"일정기간(보통1년) 상품의 재고가 몇 회전 하였는가를 표시하는 비율로 자금의 회전속도, 즉 상품이 일정기간 동안 몇 번 당좌자산으로 전환하였는가를 나타내며, 상품 투하자본의 활동상황 및 상품관리를 위한 기초 활동성지표이다. 기업의 연간 상품매출액 또는 매출원가를 상품 평균재고로 나눈 것으로, 이 비율이 높을수록 상품의 판매 및 그 보충의 속도가 빠르다."
"상계 (相計, bilateral netting)","상계는 채권자와 채무자가 서로 동종의 채권채무를 가지는 경우에 그 채권과 채무를 대등액에 있어서 소멸케 하는 일을 말한다. 또한 환위험관리전략의 일종으로, 국제기업의 본지점간 또는 지사 상호간에 발생하는 채권/채무관계를 개별적으로 결제하지 아니하고 일정기간 경과 후에 이들을 상계한 후 그 차액만을 정기적으로 결제하는 제도이기도 하다. 가장 단순한 형태로 양자간 상계가 있는데, 이는 쌍방간에 순채권, 채무 포지션만을 일정시점에서 상호 결제하는 제도이다. 이 외에도 동일 기업 내의 3개 이상의 자회사간에 채권, 채무결제가 이루어지는 다자간 상계가 있다. "
상계배당 (相計配當),낙찰인이 동시에 채권자인 경우에는 교부받을 배당액과 납부해야 할 낙찰대금과의 차액을 계산하여 교부받을 배당액을 한도로 그 대금과 상계하여 차액을 배당하는 것을 말한다. 
상관계수,"두 변수간의 상호 종속관계를 측정해주는 계수로써 -1에서 1까지의 값을 갖는다. 값이 0이면 상관이 없는 경우이다. 상관계수의 종류로서 Kendall, Spearman, pearson등이 제안한 여러 가지가 있다."
상세자금순환표,"자금순환표에서 거래상대부문에 대한 정보를 추가하여 금융상품별 경제부문 간 채권-채무관계, 즉 상호연계성을 보여주는 통계표"
상세채권통계,"자금순환표 내의 채권에 대한 발행 및 보유 내역, 이와 관련된 채권채무관계 등을 나타내는 통계로 채권발행표, 채권보유표와 채권발행보유관계표로 구성"
상수도보급률,"상수도보급률은 총인구에 대한 급수인구의 백분율을 말하며 주민등록상 인구를 기준으로 한다. 급수인구는 간이상수도, 우물물, 기타를 제외한 상수도 사용인구를 말한다. 급수인구, 시설용량, 급수량, 1일 1인당 급수량, 급수 도시수 등을 통하여 수자원 이용 실태를 알 수 있다"
상시구조조정 (常時構造調整),"상시구조조정은 말 그대로 구조조정의 상시적인 시행을 의미한다. 상시적인 기업구조조정체제가 구축되기 위해서는 무엇보다 기업부실의 재발방지를 위한 시장기능이 강화되어야 하며, 이를 위해 신용위험에 따른 여신금리의 차별화 등 금융기관의 체계적인 위험관리 시스템이 작동되어야 한다. 또한, 결합재무제표를 활용한 기업의 재무구조건전화를 유도하기 위해 결합재무제표의 정보가 FLC (잠재부실을 반영한 자산 건전성 분류기준) 평가에 적절히 반영될 수 있도록 점검해야 한다. 제도적인 측면에서는 금융기관의 원활한 부실기업처리를 위해 자동정지제도, 절대우선원칙 등의 도입을 통해 도산제도를 개선할 필요가 있다. 국회는 이러한 상시구조조정 시스템의 정착을 위해 2001년 7월 [기업구조조정촉진법]을 제정하였고, 이 법은 2001년 9월부터 시행되고 있다. "
상업어음 (trade bill),"상업어음은 단순히 자금융통을 위하여 발행되는 융통어음과 대비되는 개념으로, 실제의 상거래를 원인으로 하여 매입대금의 지급을 위해 발행되는 환어음 또는 약속어음을 말한다. 상업어음은 상거래가 원인이므로 그 지급이 확실하다는 점에서 이를 진성어음, 실(實)어음, 상품어음이라고도 한다. 상업어음은 각종 어음 중에서 가장 안전한 우량어음으로 알려져 있으며, 또한 상품의 매각대금이 결제자금으로서 기대되는 것이므로 자기결제력 또는 자기유동성(流動性)을 갖는다. 따라서 상업어음을 할인해 주는 금융기관 측에서 보면 비교적 단기간에 결제되고, 채권 확보면에서의 위험도가 적다. 그러나 상품의 판매대금이 순조롭게 회수되지 않아 부도어음화 할 위험과 상품의 실질거래의 보증이 없는 금융목적의 융통어음이 섞여 들여와도 분별하기가 어려우므로 주의해야 한다. "
상용종사자,"사업체에 상근 고용된 자로 고용주와 1년 이상의 고용 계약을 맺거나, 기간을 정하지 않고 고용된 자로 일반적으로 정규직원이라고 일컬어지는 자를 말한다."
"상장 (上場, listing)","상장이란 증권거래소에서 매매할 수 있는 품목(종목)으로 지정하는 일을 말한다. 증권이 거래소에서 매매되면 발행회사의 사회적 평가가 높아져 증자, 기채(起債) 등이 용이해지는 등 여러 좋은 점이 있으므로 증권을 발행한 회사는 증건거래소에서 상장해 줄 것을 요청하는데, 거래소로서는 공신력을 위하여 일정한 상장심사기준을 설정해서 선별하고 있다. 국채(國債)의 경우에는 거래소가 임의로 상장하기도 하고, 필요에 따라 정부에서 상장하도록 명령하기도 한다. 그러나 증권을 상장하는 회사는 상장 후에 일정한 요건에 미달하거나 계약을 위반하면 상장을 폐지하게 된다. "
"상장주 (上場株, listed stock)","증권거래소에서 거래품목으로 상장이 인정된 주식을 상장주라 한다. 주식의 상장은 거래소가 정하는 상장심사 기준을 바탕으로 그 주식의 상장이 적당한가의 여부를 판정한다. 상장심사기준에는 주권의 경우 자본금 및 상장주식수, 주식의 분포상황, 설립 후 경과연수, 매출실적 등이 정해져 있으며, 이 조건을 충족시키는 회사의 주식이 상장주가 된다. "
"상장회사 (上場會社, public company, listed company)","상장희망회사의 신청을 바탕으로 하여 증권거래소가 정하는 상장심사기준을 충족시켜 그 발행주식이 증권거래소에서 매매되는 회사를 상장회사라 한다. 상장심사기준은 당일결제거래 및 특약일결제거래에 상장되는 주권과, 보통거래(매매계약 체결 후 3일째 되는 날에 주권과 대금의 교환이 이루어지는 거래) 및 발행일결제거래에 상장되는 주권에 따라서 차이가 있다. 한국에서의 보통거래의 경우는 납입자본금 5억원 이상, 회사설립경과연수 3년 이상, 총 발행주식이 5만주 이상일 것, 부채비율 500% 미만, 신용평점 60점 이상, 최근 6년 이내 부도 발생이 없을 것 등이 심사기준이 된다. 상장회사는 증권거래소에 사업보고서 제출, 상장수수료 납입 등의 의무를 진다. "
상주인구,조사기준시점으로 현재 조사지역 내에 거주하거나 앞으로 거주예정인 모든 사람을 그 지역에 귀속시켜 계상한 인구이다.
"상품, 제품 및 반제품","상품이란 판매를 목적으로 구입한 상품, 미착상품, 적송품 등을 말하며 부동산 매매업의 경우 판매를 목적으로 소유하는 토지, 건물, 기타 이와 유사한 부동산은 이를 상품에 포함시킨다.
제품은 판매를 목적으로 제조한 생산품, 부산물 및 작업폐물 등으로 한다. 반제품은 이미 상당한 가공을 끝내고 저장중에 있는 중간제품과 부분품으로 그 자체가 판매 또는 저장가능 상태에 있다는 점에서 재공품과 구별된다"
상품수지,"가계는 수입과 지출을 기록하는 가계부를 작성함으로써 가계의 재정상태를 파악하는 데 도움을 받는다. 그런데 가계부 작성을 위한 수입 또는 지출을 발생원천 별로 구분해 보면 실물부문과 금융부문으로 나눌 수 있다. 실물부문은 근로소득, 재화 및 서비스의 구입과 판매 등과 관련된 수입과 지출을 말하며 금융부문은 저축, 대출 등과 관련된 수입과 지출을 말한다.

가계와 마찬가지로 국가도 외국과의 거래에서 발생하는 수입과 지출을 기록함으로써 경제상태를 파악하는 데 도움을 받을 수 있다. 또한 국가의 수입과 지출도 가계의 수입과 지출처럼 실물부문과 금융부문으로 구분할 수 있다. 재화 및 서비스의 이동, 임금 및 투자 소득의 이동 등과 관련된 수입과 지출은 실물부문에 해당되며 국가간의 자금거래 등과 관련된 수입과 지출은 금융부문에 해당한다.

여기서 한 국가가 실물부문에서 외국과 실행한 거래결과 벌어들인 수입에서 지출을 차감한 금액을 해당 국가의 경상수지라고 표현한다. 특히 거래결과 해당국가의 경상수지가 플러스를 보일 경우에는 “경상수지 흑자”라고 하고 경상수지가 마이너스일 경우에는 “경상수지 적자”라고 한다.

한편 경상수지는 다시 상품수지, 서비스수지, 본원소득수지, 이전소득수지로 구분되며 각각의 내용은 다음과 같다. 상품수지는 재화의 수출ㆍ입 거래결과를 나타내며, 서비스수지는 서비스의 수출ㆍ입 거래결과를 나타낸다. 본원소득수지는 생산요소(노동, 자본)의 이용대가인 임금, 이자, 배당 등의 유출ㆍ입 결과를 보여준다. 이전소득수지는 무상원조나 개인송금처럼 아무런 대가없이 자금이 이동하는 거래의 결과를 기록한다."
"상환 (償還, redemption)","상환이란 채권, 단위형 투자신탁, 상환주식 등이 기한이 되어 발행회사가 투자자에게 원금을 돌려주는 행위를 말한다. 상환방법에는 기한이 되어 돌려주는 만기상환과 기한 중에 돌려주는 기중(期中)상환이 있는데, 기중상환에는 미리 날짜가 정해져 있는 정기상환과, 발행자의 판단에 의하여 수시로 상환하는 수시상황이 있다. 상환을 정부가 의무화하고 있는 국채에도 일시에 금액 전부를 상환하는 일시불국채와 정기적으로 상환하는 정기불국채, 정부의 재정상태에 따라 수시로 상환하는 수시불국채 등 3종류가 있다. "
"상환주식 (償還株式, redeemable share)","주식의 소각에 관한 조건을 상환조항이라 하며, 상환주식은 상환조항을 붙여서 발행한 특수한 주식이다. 상환주식은 발행 당시부터 일정기간 후, 회사가 이익으로써 소각(消却)하기로 예정되어 있는 주식이다. 회사의 입장으로는 일시적인 자기자본의 조달방법으로서 장래 경리상의 부담을 경감할 수 있는 간편한 제도이며, 투자자에게는 일정한 기간은 우선적 배당을 받고 그 후에는 권면액(券面額) 또는 그 이상의 상환을 받게 되므로 완전한 투자의 대상이 된다. 상환주식은 주주의 본래적인 권리의 내용에 관한 것이 아니고, 우선주에 부가된 외부적인 특성에 불과하며, 주주평등의 원칙에 대한 예외의 경우이다. 상환은 반드시 이익으로써 하여야 하므로 상환기한이 되어도 이익이 없으면 상환할 수 없으나, 임의준비금으로 충당하는 것은 상관없다. 상환방법에는 회사와 주주의 합의에 의한 임의상환(매입상환)과 회사가 일방적으로 하는 강제상환이 있다. 상환주식을 상환하면 그 주식은 소멸하므로 발행주식의 총수는 그 수만큼 감소하지만 자본은 감소되지 않는다. 자본감소는 일정한 채권자 보호절차를 밟아야 하는데, 상환주식의 상환에는 이러한 절차가 필요 없기 때문이다. 자본과 주식과의 밀접한 관련성에 대한 예외조치의 하나이다. "
